"tfl_id","name","lat","lon"
209,"Tooting Broadway",51.4274368000,-0.1679768000
210,"Tottenham Court Rd",51.5162086000,-0.1308705000
211,"Tottenham Hale",51.5833321000,-0.0666670000
212,"Totteridge",51.6302071000,-0.1792612000
213,"Tower Hill",51.5100670000,-0.0763537000
214,"Charing Cross",51.5085945000,-0.1247547000
215,"Tufnell Park",51.5566673000,-0.1379249000
216,"Turnham Green",51.4951134000,-0.2545330000
217,"Turnpike Lane",51.5902977000,-0.1027923000
218,"Upminster",51.5588875000,0.2510871000
219,"Upminster Bridge",51.5587502000,0.2357712000
220,"Upney",51.5383339000,0.1015656000
221,"Upton Park",51.5352325000,0.0352732000
222,"Uxbridge",51.5464973000,-0.4781395000
223,"Victoria",51.4963417000,-0.1438449000
224,"Walthamstow Central",51.5829544000,-0.0199186000
225,"Wanstead",51.5755196000,0.0287459000
226,"Wapping",51.5043716000,-0.0559468000
227,"Warren Street",51.5245132000,-0.1382723000
228,"Warwick Avenue",52.2867508000,-1.5787764000
229,"Waterloo",51.5035019000,-0.1140694000
230,"Watford Met",51.6574211000,-0.4172806000
231,"Wembley Park",51.5632591000,-0.2792510000
232,"West Acton",51.5179367000,-0.2810070000
233,"Westbourne Park",51.5209198000,-0.2008838000
234,"West Brompton",51.4872169000,-0.1956081000
235,"West Finchley",51.6094856000,-0.1884689000
236,"West Ham",51.5281830000,0.0050395000
237,"West Hampstead",51.5475121000,-0.1912388000
238,"West Harrow",51.5797768000,-0.3529206000
239,"West Kensington",51.4907646000,-0.2056101000
240,"Westminster",51.5010834000,-0.1248183000
241,"West Ruislip",51.5696411000,-0.4377902000
242,"Whitechapel",51.5195274000,-0.0610712000
243,"White City",51.5119781000,-0.2242543000
244,"Willesden Green",51.5493088000,-0.2224102000
245,"Wimbledon",51.4213562000,-0.2066267000
246,"Wimbledon Park",51.4344635000,-0.1995953000
247,"Woodford",51.6070328000,0.0340371000
248,"Wood Green",51.5974770000,-0.1096264000
249,"Woodside Park",51.6178131000,-0.1854210000
254,"Pimlico",51.4891930000,-0.1337487000
255,"Vauxhall",51.4857330000,-0.1237490000
256,"Brixton",51.4625816000,-0.1146356000
257,"Hatton Cross",51.4666138000,-0.4234093000
261,"Southwark",51.5038414000,-0.1050918000
262,"Bermondsey",51.4979477000,-0.0636514000
263,"Canada Water",51.4978905000,-0.0497060000
264,"North Greenwich",51.5001831000,0.0036074000
266,"Canary Wharf",51.5049744000,-0.0210446000
267,"Canning Town",51.5138359000,0.0081710000
268,"Kensal Green",51.5305443000,-0.2246645000
269,"Wembley Central",51.5522308000,-0.2962285000
271,"Fenchurch Street",51.5116386000,-0.0785140000
272,"Limehouse",51.5125160000,-0.0397080000
981,"Willesden Junction",51.5324631000,-0.2444565000
1123,"Harlesden",51.5363541000,-0.2578032000
1124,"North Wembley",51.5627403000,-0.3041437000
1293,"Stonebridge Park",51.5440331000,-0.2760100000
1294,"South Kenton",51.5701752000,-0.3084406000
1295,"Kenton",51.5817375000,-0.3169888000
1297,"Drayton Pk",51.5527802000,-0.1055000000
1298,"Essex Road",51.5407104000,-0.0962700000
1299,"Harrow&Wealdstone",51.5917130000,-0.3345197000
1300,"New Cross Gate",51.4753380000,-0.0402996000
1336,"City Thameslink",51.5163002000,-0.1037000000
1588,"Watford High Street",51.6525917000,-0.3918198000
1589,"Watford Junction",51.6636581000,-0.3964144000
1731,"Wood Lane",51.5097198000,-0.2244370000
1753,"Shepherd's Bush",51.5052414000,-0.2176988000
1754,"Shepherd's Bush Mkt",51.5052414000,-0.2176988000
2050,"Cannon Street",51.5103989000,-0.0907000000
2052,"Euston",51.5284004000,-0.1331000000
2064,"Kings Cross",51.5302010000,-0.1241000000
